order_id,item_id,product_id,quantity,list_price,discount,region
93,1,22,2,269.99,0.07,CA
93,2,17,1,429,0.05,CA
93,3,21,1,269.99,0.1,CA
93,4,2,1,749.99,0.2,CA
93,5,10,2,1549,0.07,CA
504,1,24,2,549.99,0.1,CA
504,2,2,2,749.99,0.05,CA
1395,1,204,1,3599.99,0.2,CA
1395,2,48,2,1499.99,0.1,CA
1395,3,180,2,919.99,0.2,CA
1395,4,226,1,679.99,0.1,CA
1275,1,58,1,4999.99,0.07,CA
1275,2,30,1,999.99,0.1,CA
1591,1,286,2,279.99,0.2,CA
1591,2,126,2,469.99,0.2,CA
1591,3,97,2,349.99,0.07,CA
1591,4,138,2,2249.99,0.05,CA
1591,5,265,1,289.99,0.2,CA
79,1,9,2,2999.99,0.1,CA
79,2,17,2,429,0.05,CA
79,3,6,1,469.99,0.1,CA
79,4,25,2,499.99,0.07,CA
524,1,11,1,1680.99,0.07,CA
524,2,2,1,749.99,0.05,CA
524,3,9,1,2999.99,0.2,CA
524,4,3,2,999.99,0.07,CA
524,5,26,1,599.99,0.05,CA
536,1,22,1,269.99,0.1,CA
536,2,2,1,749.99,0.1,CA
536,3,12,2,549.99,0.05,CA
536,4,14,1,269.99,0.07,CA
1453,1,89,2,209.99,0.1,CA
690,1,84,1,109.99,0.2,CA
690,2,11,2,1680.99,0.07,CA
690,3,85,1,329.99,0.05,CA
690,4,109,2,416.99,0.2,CA
283,1,9,1,2999.99,0.05,CA
283,2,16,2,599.99,0.2,CA
1488,1,42,1,2299.99,0.07,CA
1488,2,122,1,2499.99,0.07,CA
17,1,8,1,1799.99,0.07,CA
17,2,23,1,299.99,0.1,CA
17,3,5,1,1320.99,0.1,CA
17,4,20,2,599.99,0.2,CA
576,1,9,1,2999.99,0.1,CA
839,1,55,1,2699.99,0.07,CA
839,2,85,1,329.99,0.1,CA
839,3,58,2,4999.99,0.05,CA
1598,1,247,1,599.99,0.2,CA
1598,2,49,2,3499.99,0.07,CA
1598,3,88,1,189.99,0.2,CA
1050,1,96,2,349.99,0.07,CA
1050,2,99,2,299.99,0.1,CA
1050,3,45,2,869.99,0.2,CA
1050,4,14,2,269.99,0.2,CA
692,1,59,1,2599.99,0.2,CA
692,2,75,1,599.99,0.07,CA
692,3,15,2,529.99,0.07,CA
692,4,56,2,5499.99,0.1,CA
1084,1,30,1,999.99,0.05,CA
1084,2,70,1,659.99,0.05,CA
1084,3,98,2,489.99,0.2,CA
1084,4,65,2,346.99,0.07,CA
1084,5,60,1,1559.99,0.1,CA
1509,1,215,2,749.99,0.07,CA
961,1,105,1,533.99,0.1,CA
961,2,47,2,5299.99,0.2,CA
961,3,65,2,346.99,0.07,CA
1491,1,95,2,299.99,0.2,CA
1491,2,302,1,449.99,0.05,CA
1491,3,60,2,1559.99,0.07,CA
1491,4,139,2,2999.99,0.07,CA
154,1,12,1,549.99,0.1,CA
1,1,20,1,599.99,0.2,CA
1,2,8,2,1799.99,0.07,CA
1,3,10,2,1549,0.05,CA
1,4,16,2,599.99,0.05,CA
1,5,4,1,2899.99,0.2,CA
349,1,20,2,599.99,0.2,CA
444,1,22,1,269.99,0.07,CA
444,2,15,2,529.99,0.07,CA
444,3,20,2,599.99,0.05,CA
444,4,16,1,599.99,0.1,CA
444,5,10,2,1549,0.2,CA
1553,1,102,1,489.99,0.07,CA
1553,2,12,1,549.99,0.1,CA
1553,3,251,1,2999.99,0.05,CA
1553,4,89,1,209.99,0.05,CA
1380,1,255,2,899.99,0.1,CA
1380,2,229,2,429.99,0.07,CA
1336,1,29,2,999.99,0.2,CA
1336,2,157,1,6499.99,0.05,CA
1336,3,21,2,269.99,0.07,CA
1336,4,207,1,3999.99,0.1,CA
1336,5,185,1,2799.99,0.1,CA
247,1,25,1,499.99,0.07,CA
247,2,3,1,999.99,0.2,CA
875,1,5,2,1320.99,0.1,CA
875,2,15,2,529.99,0.05,CA
875,3,14,1,269.99,0.07,CA
875,4,111,1,470.99,0.2,CA
103,1,17,1,429,0.07,CA
103,2,3,1,999.99,0.05,CA
103,3,18,1,449,0.2,CA
103,4,15,2,529.99,0.1,CA
103,5,9,2,2999.99,0.1,CA
107,1,19,1,449,0.2,CA
107,2,13,2,269.99,0.1,CA
1340,1,253,1,2599.99,0.2,CA
1340,2,92,2,209.99,0.2,CA
1340,3,237,2,849.99,0.05,CA
1383,1,188,2,3499.99,0.2,CA
1383,2,65,2,346.99,0.05,CA
1218,1,32,1,469.99,0.07,CA
1218,2,102,2,489.99,0.05,CA
680,1,81,2,1099.99,0.05,CA
680,2,7,1,3999.99,0.2,CA
680,3,50,1,5999.99,0.07,CA
14,1,6,1,469.99,0.07,CA
912,1,22,2,269.99,0.2,CA
912,2,71,2,416.99,0.05,CA
912,3,101,1,339.99,0.05,CA
912,4,2,2,749.99,0.2,CA
495,1,22,1,269.99,0.2,CA
495,2,9,1,2999.99,0.05,CA
1108,1,45,2,869.99,0.05,CA
1108,2,100,1,489.99,0.07,CA
1108,3,105,1,533.99,0.07,CA
728,1,70,1,659.99,0.05,CA
728,2,56,1,5499.99,0.1,CA
728,3,91,1,349.99,0.1,CA
728,4,58,1,4999.99,0.07,CA
362,1,2,1,749.99,0.07,CA
1540,1,71,2,416.99,0.05,CA
1540,2,236,1,749.99,0.07,CA
1540,3,224,1,479.99,0.05,CA
1540,4,177,2,5499.99,0.05,CA
1540,5,78,1,647.99,0.2,CA
491,1,9,2,2999.99,0.2,CA
491,2,21,2,269.99,0.05,CA
491,3,15,2,529.99,0.05,CA
470,1,18,1,449,0.05,CA
470,2,13,1,269.99,0.05,CA
470,3,8,2,1799.99,0.2,CA
996,1,68,2,449.99,0.05,CA
996,2,32,1,469.99,0.05,CA
641,1,15,1,529.99,0.05,CA
641,2,62,1,3499.99,0.2,CA
641,3,64,1,489.99,0.2,CA
159,1,13,1,269.99,0.2,CA
582,1,10,2,1549,0.2,CA
582,2,17,2,429,0.07,CA
1513,1,166,1,749.99,0.1,CA
1513,2,61,2,4999.99,0.05,CA
1513,3,159,2,2299.99,0.05,CA
474,1,19,2,449,0.05,CA
474,2,11,1,1680.99,0.2,CA
801,1,101,1,339.99,0.07,CA
1522,1,95,1,299.99,0.1,CA
1522,2,141,1,1599.99,0.07,CA
1522,3,117,1,1469.99,0.07,CA
156,1,18,2,449,0.2,CA
156,2,17,2,429,0.05,CA
156,3,6,1,469.99,0.07,CA
914,1,38,1,549.99,0.07,CA
914,2,20,2,599.99,0.2,CA
914,3,106,1,449.99,0.05,CA
914,4,46,1,1409.99,0.1,CA
1547,1,106,2,449.99,0.2,CA
1547,2,204,1,3599.99,0.2,CA
432,1,10,2,1549,0.2,CA
432,2,7,2,3999.99,0.05,CA
958,1,51,1,6499.99,0.1,CA
958,2,76,1,299.99,0.2,CA
850,1,101,2,339.99,0.07,CA
850,2,5,2,1320.99,0.07,CA
850,3,37,1,379.99,0.07,CA
52,1,25,1,499.99,0.07,CA
369,1,10,2,1549,0.07,CA
1011,1,88,1,189.99,0.2,CA
1011,2,99,2,299.99,0.2,CA
1011,3,16,2,599.99,0.2,CA
1011,4,68,2,449.99,0.05,CA
771,1,13,2,269.99,0.2,CA
771,2,88,1,189.99,0.2,CA
1589,1,246,2,639.99,0.05,CA
1589,2,260,1,799.99,0.2,CA
1589,3,28,2,2499.99,0.1,CA
1092,1,34,1,469.99,0.05,CA
1092,2,30,2,999.99,0.07,CA
1092,3,2,2,749.99,0.1,CA
1092,4,18,1,449,0.2,CA
598,1,4,2,2899.99,0.05,CA
598,2,16,2,599.99,0.07,CA
598,3,14,1,269.99,0.1,CA
798,1,23,1,299.99,0.1,CA
798,2,90,1,209.99,0.05,CA
798,3,91,2,349.99,0.07,CA
798,4,42,1,2299.99,0.2,CA
798,5,26,2,599.99,0.05,CA
226,1,2,1,749.99,0.05,CA
559,1,15,2,529.99,0.1,CA
559,2,6,1,469.99,0.1,CA
559,3,7,2,3999.99,0.07,CA
1516,1,172,2,3199.99,0.1,CA
1516,2,253,1,2599.99,0.1,CA
1516,3,196,2,2299.99,0.2,CA
1516,4,259,2,1199.99,0.2,CA
1516,5,271,2,209.99,0.2,CA
897,1,105,1,533.99,0.05,CA
897,2,96,1,349.99,0.05,CA
1072,1,83,1,149.99,0.2,CA
1072,2,89,2,209.99,0.07,CA
1072,3,36,2,832.99,0.07,CA
202,1,8,1,1799.99,0.07,CA
202,2,17,1,429,0.05,CA
202,3,15,2,529.99,0.05,CA
202,4,25,2,499.99,0.05,CA
492,1,6,1,469.99,0.1,CA
492,2,22,2,269.99,0.1,CA
492,3,26,1,599.99,0.05,CA
1580,1,119,2,469.99,0.07,CA
1580,2,86,2,149.99,0.2,CA
23,1,4,2,2899.99,0.05,CA
23,2,23,2,299.99,0.1,CA
23,3,13,1,269.99,0.2,CA
764,1,55,1,2699.99,0.07,CA
764,2,95,2,299.99,0.05,CA
764,3,81,2,1099.99,0.07,CA
411,1,2,1,749.99,0.07,CA
411,2,26,2,599.99,0.05,CA
420,1,17,2,429,0.2,CA
420,2,15,2,529.99,0.1,CA
420,3,3,2,999.99,0.05,CA
1566,1,179,1,919.99,0.05,CA
1566,2,61,2,4999.99,0.05,CA
917,1,41,1,1469.99,0.07,CA
1199,1,32,1,469.99,0.05,CA
1199,2,94,2,249.99,0.07,CA
1199,3,109,2,416.99,0.1,CA
225,1,21,1,269.99,0.1,CA
225,2,9,1,2999.99,0.1,CA
608,1,4,2,2899.99,0.2,CA
