order_id,item_id,product_id,quantity,list_price,discount,region
965,1,90,2,209.99,0.1,NY
299,1,11,2,1680.99,0.05,NY
299,2,10,2,1549,0.2,NY
640,1,106,2,449.99,0.05,NY
640,2,32,1,469.99,0.07,NY
640,3,30,1,999.99,0.07,NY
640,4,76,2,299.99,0.07,NY
640,5,109,2,416.99,0.2,NY
528,1,21,2,269.99,0.05,NY
644,1,9,1,2999.99,0.07,NY
455,1,9,1,2999.99,0.05,NY
437,1,3,1,999.99,0.05,NY
437,2,10,1,1549,0.05,NY
437,3,8,2,1799.99,0.05,NY
1363,1,66,2,250.99,0.1,NY
1327,1,151,2,1549.99,0.07,NY
1327,2,235,2,899.99,0.1,NY
1327,3,48,2,1499.99,0.1,NY
1327,4,180,1,919.99,0.2,NY
186,1,4,1,2899.99,0.1,NY
186,2,6,1,469.99,0.1,NY
436,1,3,1,999.99,0.05,NY
436,2,23,1,299.99,0.2,NY
1012,1,8,1,1799.99,0.07,NY
1012,2,64,1,489.99,0.2,NY
336,1,4,1,2899.99,0.1,NY
336,2,12,1,549.99,0.2,NY
1335,1,138,2,2249.99,0.05,NY
1304,1,80,1,761.99,0.05,NY
1304,2,99,2,299.99,0.05,NY
1304,3,102,1,489.99,0.2,NY
1304,4,17,1,429,0.05,NY
469,1,8,2,1799.99,0.1,NY
469,2,4,1,2899.99,0.07,NY
469,3,15,2,529.99,0.2,NY
759,1,93,2,209.99,0.05,NY
759,2,78,1,647.99,0.07,NY
916,1,92,1,209.99,0.2,NY
1524,1,168,1,1549,0.1,NY
1524,2,295,2,319.99,0.2,NY
1524,3,313,1,449.99,0.2,NY
1524,4,252,2,2999.99,0.2,NY
1295,1,5,2,1320.99,0.2,NY
1295,2,61,1,4999.99,0.2,NY
1295,3,52,1,875.99,0.05,NY
1286,1,109,2,416.99,0.2,NY
1286,2,81,2,1099.99,0.07,NY
1286,3,87,1,189.99,0.07,NY
33,1,23,2,299.99,0.07,NY
33,2,7,1,3999.99,0.1,NY
379,1,9,1,2999.99,0.07,NY
379,2,16,1,599.99,0.2,NY
1432,1,161,1,1899,0.2,NY
356,1,23,2,299.99,0.05,NY
356,2,4,1,2899.99,0.05,NY
356,3,13,1,269.99,0.05,NY
426,1,10,1,1549,0.1,NY
426,2,23,2,299.99,0.05,NY
721,1,45,2,869.99,0.07,NY
721,2,102,1,489.99,0.1,NY
721,3,73,2,749.99,0.05,NY
721,4,33,1,469.99,0.2,NY
870,1,63,1,3499.99,0.07,NY
1041,1,89,1,209.99,0.1,NY
1041,2,61,2,4999.99,0.07,NY
1041,3,94,2,249.99,0.1,NY
1551,1,207,2,3999.99,0.2,NY
269,1,5,1,1320.99,0.07,NY
269,2,23,2,299.99,0.07,NY
269,3,18,1,449,0.05,NY
269,4,3,1,999.99,0.05,NY
305,1,10,1,1549,0.07,NY
305,2,6,1,469.99,0.1,NY
305,3,3,2,999.99,0.2,NY
1215,1,73,2,749.99,0.1,NY
1215,2,10,2,1549,0.07,NY
843,1,72,1,619.99,0.1,NY
843,2,75,2,599.99,0.1,NY
843,3,81,1,1099.99,0.1,NY
843,4,23,2,299.99,0.07,NY
1560,1,118,2,999.99,0.2,NY
1560,2,41,1,1469.99,0.2,NY
27,1,5,1,1320.99,0.2,NY
27,2,19,1,449,0.2,NY
27,3,26,2,599.99,0.07,NY
27,4,8,1,1799.99,0.07,NY
539,1,9,2,2999.99,0.1,NY
539,2,23,1,299.99,0.05,NY
539,3,21,2,269.99,0.07,NY
217,1,18,1,449,0.1,NY
217,2,10,2,1549,0.1,NY
217,3,17,1,429,0.07,NY
1099,1,64,1,489.99,0.1,NY
1099,2,13,2,269.99,0.05,NY
1099,3,46,1,1409.99,0.07,NY
1099,4,89,2,209.99,0.1,NY
1116,1,11,2,1680.99,0.07,NY
1501,1,248,1,599.99,0.05,NY
1501,2,219,1,639.99,0.07,NY
1501,3,15,1,529.99,0.05,NY
1501,4,67,1,250.99,0.2,NY
1501,5,210,1,1549,0.05,NY
85,1,4,2,2899.99,0.05,NY
85,2,18,1,449,0.07,NY
182,1,25,2,499.99,0.05,NY
182,2,24,2,549.99,0.07,NY
144,1,8,2,1799.99,0.05,NY
1044,1,97,2,349.99,0.1,NY
1355,1,297,1,279.99,0.1,NY
1355,2,253,1,2599.99,0.07,NY
1355,3,149,1,7499.99,0.2,NY
1355,4,313,2,449.99,0.1,NY
1344,1,77,2,799.99,0.07,NY
1344,2,103,2,551.99,0.2,NY
1344,3,3,1,999.99,0.07,NY
1344,4,61,1,4999.99,0.07,NY
1479,1,252,1,2999.99,0.05,NY
1479,2,256,1,899.99,0.1,NY
1109,1,72,2,619.99,0.1,NY
414,1,4,2,2899.99,0.1,NY
123,1,12,2,549.99,0.1,NY
1017,1,89,1,209.99,0.07,NY
1017,2,82,2,659.99,0.2,NY
1017,3,100,1,489.99,0.2,NY
1017,4,18,2,449,0.2,NY
1017,5,77,2,799.99,0.1,NY
61,1,25,1,499.99,0.1,NY
61,2,15,2,529.99,0.05,NY
61,3,5,2,1320.99,0.2,NY
192,1,8,2,1799.99,0.1,NY
192,2,25,1,499.99,0.07,NY
192,3,2,1,749.99,0.05,NY
192,4,24,2,549.99,0.07,NY
192,5,10,2,1549,0.2,NY
805,1,24,1,549.99,0.05,NY
805,2,33,2,469.99,0.2,NY
805,3,62,2,3499.99,0.2,NY
805,4,32,1,469.99,0.07,NY
