order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1301,1088,4,2017-12-16,2017-12-19,2017-12-19,1,3
1321,217,4,2017-12-30,2017-12-31,2017-12-31,1,3
1310,444,4,2017-12-24,2017-12-25,2017-12-26,1,3
1002,1418,4,2017-7-14,2017-7-16,2017-7-16,1,3
917,881,4,2017-5-29,2017-5-31,2017-6-1,1,2
751,731,4,2017-3-5,2017-3-8,2017-3-7,1,3
1205,1091,4,2017-10-26,2017-10-28,2017-10-28,1,2
765,1152,4,2017-3-9,2017-3-11,2017-3-12,1,2
1289,1292,4,2017-12-8,2017-12-11,2017-12-10,1,3
1157,24,4,2017-10-1,2017-10-3,2017-10-4,1,3
1090,1427,4,2017-8-24,2017-8-26,2017-8-26,1,2
1151,708,4,2017-9-29,2017-9-30,2017-9-30,1,3
1139,1006,4,2017-9-21,2017-9-22,2017-9-23,1,2
993,1415,4,2017-7-9,2017-7-11,2017-7-11,1,3
909,188,4,2017-5-26,2017-5-27,2017-5-28,1,2
1229,89,4,2017-11-5,2017-11-8,2017-11-6,1,3
927,1438,4,2017-6-3,2017-6-5,2017-6-6,1,2
886,1396,4,2017-5-13,2017-5-14,2017-5-15,1,2
1031,1308,4,2017-7-30,2017-8-1,2017-8-2,1,2
872,394,4,2017-5-3,2017-5-6,2017-5-6,1,3
1247,426,4,2017-11-16,2017-11-18,2017-11-17,1,2
1232,665,4,2017-11-6,2017-11-7,2017-11-9,1,3
1050,239,4,2017-8-9,2017-8-12,2017-8-12,1,3
1130,69,4,2017-9-18,2017-9-20,2017-9-20,1,3
941,736,4,2017-6-12,2017-6-14,2017-6-14,1,2
1143,1087,4,2017-9-24,2017-9-26,2017-9-27,1,2
1093,326,4,2017-8-25,2017-8-28,2017-8-26,1,3
867,97,4,2017-5-1,2017-5-3,2017-5-2,1,3
708,660,4,2017-2-10,2017-2-12,2017-2-11,1,2
641,673,4,2017-1-7,2017-1-10,2017-1-8,1,3
